"","X","tweet","annotation"
"45",45,"one day please just one day without a headache.",1
"47",47,"Covid update: tested positive 3 weeks ago today. Still no taste or smell. Still coughing. Head is still congested.… https://t.co/4MXm2Tvuah",1
"49",49,"RT @safeverytime: i still wouldn’t change being stuck with u @ArianaGrande 🤍 #stuckwithu @justinbieber @scooterbraun @SB_Projects https://t…",0
"51",51,"RT @safeverytime: i’d sell my kidney to be in the next video stg",0
"53",53,"@legndofphoenix This made me cough and laugh and now I have diet pepsi in my nose. Thanks for that.",0
"54",54,"Me: I will be productive today! My body: How about a headache that lasts for the next 10 hours?",0
"55",55,"RT @SaskHealth: Mild symptoms including 1 or more of the following: Fever Cough Headache Muscle or joint pain Sore throat Chills Runny nose…",0
"57",57,"RT @karinyeske: @gqinsk The vaccine side effects kicked my butt today but it was worth every queasy; feverish moment. https://t.co/ZLGjyKOi…",0
"58",58,"@aaronjayjack @MyRadarWX Makes me just giddy to finally get into those -40 and colder windchills",0
"60",60,"@lachlanbuchanan What verbal vomit magic is this?!",0
"62",62,"And Dylan has succumbed officially to the illness that had run rampant through the house this past week 😨fever last night, but good all day until just now. 🤮 :( this stomach flu can kindly eff off and leave my family alone",1
"63",63,"Read a news article today saying “Canada Will Be Hit With Life-Threatening -70°C Wind Chills This Month” and then w… https://t.co/ZqdkxBSvVe",0
"66",66,"@a_elenko Glad to hear you're on the mend. :) I had a headache and some mental fog the day I got it; and the expect… https://t.co/09Ja6tjl3K",0
"67",67,"This song started playing and I got full on body chills. That’s rarely happens. Geez @johnlegend https://t.co/ASj2XcIxWR",0
"71",71,"@booksofm Will not do so! Vomit away! 🪛 <----- Imagine this to be the sonic kind of screwdriver",0
"72",72,"RT @CTVAlison: I’m so thankful to have friends and family who don’t mind talking about my issues. While it’s hard to do this publicly maybe…",0
"73",73,"this nausea never gonna end",1
"75",75,"@DrKyle And why wouldn't we include them; they've infectable cells like the rest of us; cough and speak like the rest of us...",0
"76",76,"@saskboy @DrKyle Worse. They cough etc worse than the rest of us. 🤣 #CoverYourCough #NotLikeThat",0
"77",77,"RT @theblackestdae: dua lipa coughs on him and it’s over https://t.co/TITrOoRdHw",0
"79",79,"I almost vomited watching this 🤮 #sick #Minneapolis https://t.co/jKFcrYCf9v",0
"82",82,"Day 2 of self isolation - exhausted; fever is a bit worse but not out of control; painful body aches; cough is wors… https://t.co/Ht9OsM1F02",1
"83",83,"@eGoTheIcoN @OnePantherPlace @JayRod_JR2 @CameronNewton Took me 16 minutes to read it and all I got out of it was a headache.",0
"94",94,"Favorited 'Cabin Fever (2020)' https://t.co/x58DuRDDx3 by StreetVybz",0
"96",96,"This is the longest 18.5 hours of the Raps game",0
"97",97,"@JGasson_21 My headache and I agree with you!!!",0
"100",100,"RT @safeverytime: hi ! i really want to help everyone get dove’s follow so like & rt if you need help @dovecameron love u #rememberme https…",0
"103",103,"@diceb0mb not impossible but certainly a headache major issue with 6-2 is that there’s enemies that take up entire… https://t.co/TnZ1Ug5Bnk",0
"105",105,"RT @CarolHusband: Remember the old days when young girls orgasmed when Skippy smiled?   Now they’re older and they’re beginning to vomit.",0
"107",107,"@PurpleForever19 I mean that's what migraines are anything less is bad headache imo. Unless I've just become semi immune",0
"108",108,"RT @LskySD: BUS ROUTES CANCELLED - SCHOOLS ARE OPEN Due to extreme cold and windchills below -40 this morning; there will be no bus service…",0
"109",109,"RT @KingMetroN: AWP Fever Dream Giveaway  ✅ follow me @KingMetroN  ✅ retweet+like  Rolling in 5 days🔥🔥🔥 https://t.co/psdZQh4hX2",0
"113",113,"@NatBanting @jchase42 Totally agree!  I think it’s all the talking in a mask!  I have a headache and sore throat at the end of everyday.",0
"114",114,"Trump's Covid-19: high fever; drops in oxygen; doctors say - CNN https://t.co/k0l6YFdXSZ",0
"116",116,"85-75 at HALFTIME?! Is defense in quarantine? #NBA",0
"125",125,"@FINALLEVEL That sent Chills down my spine! It’s not his time 🙏🏽 he’s a fighter!",0
"126",126,"RT @Boo15733919: Suck It Up Toronto.. -50 Windchills In Saskatchewan.. Sure Love That Oil & Gas That’s Heating Our Homes..  https://t.co/lw…",0
"127",127,"RT @AnDuinnineach: fuighleach firéid; m.; ferret's milk (a cure for whooping cough)  Any advice on how to milk a ferret? http://t.co/BEQpmi…",0
"128",128,"RT @ParkAmbulance: Our paramedics also had a busy week. Some interesting numbers: 31 falls and 90 sick/shortness of breath calls were recor…",0
"129",129,"Feeling a Thursday cough coming on... https://t.co/PtO51SnkjP",0
"131",131,"@kishkitsch @joseph66 No;  no colds.  Even our school kids;  no colds; no snotty noses;  no coughing.  Amazing.",0
"132",132,"@nicolacoughlan I guess Trump forgot to tell his worshipers that they would be committing a heinous crime if they f… https://t.co/e7lbToUusC",0
"133",133,"@Safimod Other than my massive headache, and missing work for 3 days now 😭😭
I am good. Sitting on the couch with my 2 furry babies. 
And I found some new sugar cookie recipes I want to try.",1
"134",134,"having one of those weeks where i'm having a difficult time existing because of fatigue",0
"137",137,"@JonsCrazyTweets I had asthma growing up...as well as whooping cough. Horrible combination!",0
"139",139,"@Cherrycola02 No I'm a freelancer",0
"142",142,"@jmu_paul Took the words errr... Vomit right out of my mouth",0
"143",143,"@lDeadGirll And the headaches. Wow! 🤕",0
"144",144,"RT @ONICLIS: younger me smart as fuck for this one https://t.co/qSOhg2oFXm",0
"145",145,"@qwnofeverything @peekaboo_jen I didn't see any poisonous spiders when I was in Australia. Saw spiders but mostly h… https://t.co/zPEPAQJb4b",0
"147",147,"When is the @NBA going to cancel the previously scheduled regular season games?! Right now; because they’re all “po… https://t.co/hVC6xkhjTM",0
"149",149,"@CalgaryRugbyDad @judgar64 @PremierScottMoe Sometimes lol . Gives me a headache .",0
"150",150,"Thinking about going to work tomorrow is nauseating. https://t.co/LXkC7CKy3a",0
"151",151,"@MEmoFlakes I thought fever was a symptom; and it ain't hot",0
"153",153,"@gnuman1979 Chills went down my spine when I saw him. 😱",0
"155",155,"@TSN_Sports James Harden won’t be in the Hall of Fame.",0
"156",156,"RT @Ivanasha: the pain was real. the headache; the heartache; and even the way i prayed to think and feel nothing at all.",0
"159",159,"@ElonBachman from what i understand the covid loss of smell is due to neurological interactions not physical effects with the virus so... you very well may have it. zinc hcq and vitamin d also others has experienced emotional control issues so that's another thing to watch out for",0
"161",161,"@itsmebeegee07 Cat scratch fever.",0
"162",162,"the pain was real. the headache; the heartache; and even the way i prayed to think and feel nothing at all.",0
"163",163,"@RahRahRaina flambeegs",0
"164",164,"@DocNaismith Like my disdain for popcorn; those are feelings I cannot set aside.",0
"171",171,"So since he’s not feeling 100% today (and hasn’t had a fever at all), we’re keeping him home. Called the school, left a message to that effect (we did the COVID assessment and it recommended self-isolation, but not for how long). 

School called back...",1
"172",172,"RT @IsaacHayesPPC: If you want a great breakfast or fish & chips in Saskatoon; Churchills British Cafe on Idylwild is the place 🇬🇧🇬🇧🇬🇧",0
"173",173,"@roccogalatilaw Hey Rocco - fa cough k?",0
"175",175,"RT @ALRAESHI: Types of Coughs #لست_وحدك   https://t.co/tvphwNwJ4W",0
"178",178,"RT @TheShiftNews: One of those accused of planting the bomb that killed #DaphneCaruanaGalizia was found guilty of his involvement in a bank…",0
"183",183,"@WHO If I think someone has expelled respiratory droplets on my lunch because they got too close when coughing; sne… https://t.co/pTcAMwKKG1",0
"186",186,"#Pasqua you get some incredible headaches... eyeaches when you don't realize you lenses got splashed https://t.co/ej9FZHFRGI",0
"187",187,"RT @joeljeffrey: “Hello and thank you for calling the coronavirus hotline. If you believe you have the coronavirus; cough once into the pho…",0
"188",188,"Loss of smell and pink eye? Also a discussion on fever symptoms and virus reproduction.  '... I am simply saying th… https://t.co/1hryhbmrvu",0
"192",192,"Chills. Every. Time. #BlueJays https://t.co/vTBMzVewzG",0
"194",194,"RT @chrisvread: When my daughter yelled in a panic for me to come upstairs because the toilet was smoking... #IKnewIHadCabinFeverWhen https…",0
"196",196,"@Furytheoddity *vomits in a trash can* y-you monster! *vonmits again* Ugh... pain... *flops on the floor in agony* hhhhhhh",0
"200",200,"@M_J_Games *cough* @Ragnarok0913 *cough*",0
"203",203,"@emzorbit @bannerite @soledadobrien @MBershod Is barr coughing or mining for gold",0
"204",204,"@AllenS64140674 @BradWall306 @SaskParty Fa-cough",0
"206",206,"@KaiHibbard He looks like he's holding very still so he doesn't cough his brains out.",0
"207",207,"Why is Sam Darnold?",0
"208",208,"@LaneDStock ~>that tune = chills",0
"213",213,"have absolutely no sense of smell or taste.  😅😅",1
"215",215,"In all honesty; I should’ve known I needed help when I was 14 shoving my fingers down my throat to throw up; SO I D… https://t.co/d2kxyGkaRF",0
"216",216,"RT @PremierScottMoe: All 13 Premiers are calling for an immediate injection to the Canada Health Transfer to bring the federal share to 35%…",0
"220",220,"This is happening. New tradition. #HillHouse #NetflixAndChillsParty https://t.co/4chkI39giF",0
"221",221,"I forgot how bad Halloween makes my ovaries ache. #babyfever",0
"222",222,"I grew up listening to legends about the wendigo and other stories with a similar name. #parachills https://t.co/7Z80HgX1LZ",0
"223",223,"@MandingoFever Love to get my mouth and ass on that",0
"224",224,"@staylorsports I have a headache...",0
"229",229,"@grrlintersect Headaches suck. Feel better *hugs*",0
"230",230,"helo i have a fever of 101",1
"231",231,"@CattleNut Bought a new one over the winter because the old one was a headache from new and was finally in a positi… https://t.co/pUMxhlo5eH",0
"232",232,"2.3 million children die in India every year.  300;000 of those are from diarrhea.  Perspective; people. https://t.co/IxB3h0p7n1",0
"234",234,"RT @NormalGuy223: 2.3 million children die in India every year.  300;000 of those are from diarrhea.  Perspective; people. https://t.co/IxB…",0
"236",236,"@SeanStefan Id be coughing in Koepkas back swing if i was Phils caddy.....but thats just me.........",0
"242",242,"RT @RustyNa56941001: @MissScarFever @gojonewsnow @estalou2 They want to protest they can find a safe spot to do it. Sitting in the middle o…",0
"243",243,"Or People Who Wanna Hate Because Their Life Isn’t Going Anywhere “cough cough” https://t.co/XYoiNKS71l",0
"244",244,"@jdoubleu8 @VrinMarbleye @MissScarFever @gojonewsnow @estalou2 Congrats. But; this post is about what’s happening in Canada.",0
"245",245,"@jdoubleu8 @VrinMarbleye @MissScarFever @gojonewsnow @estalou2 You can’t legally run someone over; but you would wi… https://t.co/0v39rfBYsc",0
"249",249,"@jdoubleu8 @VrinMarbleye @MissScarFever @gojonewsnow @estalou2 Pedestrians have a right crossing at a crosswalk. Yo… https://t.co/fgadcyOqZJ",0
"250",250,"RT @PayantCody: *Retweet to increase sample size * Do you think Canadian parliament should force a vote of no confidence? #PPC 🍁",0
"252",252,"@jdoubleu8 @VrinMarbleye @MissScarFever @gojonewsnow @estalou2 Different country.",0
"255",255,"@coconuttwata You need a cough drop",0
"256",256,"RT @warman_aa: Wildcats hold on to win 4-2 to finish 5th and melt the Chills hopes of making the playoffs. We will play the Saskatoon Iceha…",0
"257",257,"Wildcats hold on to win 4-2 to finish 5th and melt the Chills hopes of making the playoffs. We will play the Saskatoon Icehawks in the first round. BRING ON THE PLAYOFFS! https://t.co/WACJTe4GFF",0
"260",260,"@MissScarFever Happy Birthday. Hope you have a fantastic day",0
"262",262,"@therealbiztang @jsukup15 Jägermeister. Its already basically cought syrup.",0
"263",263,"@RahRahRaina Kawhi showing emotions.",0
"264",264,"I can't believe what I'm seeing. People who SHOULD know better coughing and NOT covering their frickin mouths!  You can't go in a grocery store without it happening!  People in Crosby ND have got to be the most ignorant and uneducated people I've ever come across.",1
"267",267,"I’m getting my tattoo tomorrow & I wanna throw up. Or maybe cuz I’m just feeling like shit today.",0
"269",269,"Being Ko'd by a terrible headache/no energy right now. So much so I'm still in bed. Have always been up by 6am last few months but all my limbs are heavy. For once am listening to my body and resting a little longer. Love to All... hoping not an #me flair, was diagnosed years ago",0
"270",270,"🌿 my body feels like it's 100 years old - it hurts to move; see; read; talk 🌿 I'm nausea 🌿 It feels like I haven't… https://t.co/KVaws4VbNA",0
"272",272,"✨zoom fatigue ✨ is a real thing  shoutout to students/teachers having so much screen time in a day. it is mentally… https://t.co/4A9idBvVQB",0
"274",274,"@ScallopFever Julie and Tom are maniacs",0
"275",275,"@HNTurtledove tomorrow you my experience fatigue; sore joints; fever/chills.  Take both Tylenol and minimum 600mg i… https://t.co/ifDm66z0fC",0
"277",277,"@frankedoho Seen. Absolutely; there is a n association between Malaria and typhoid fever; whether as a co-infection… https://t.co/DXPzzZK6sQ",0
"278",278,"@frankedoho And this is because the staple test for typhoid fever; also known as Widal test; is not a reliable indi… https://t.co/OZRYBbJoNY",0
"279",279,"@kinsellawarren Dave Matthews Band makes me throw up a little in my mouth just typing it.",0
"281",281,"@heatherbury @JockCartier @JGasson_21 100% I can’t taste a difference at all. Tried it recently and it’s no differe… https://t.co/kWraYhLI8Q",0
"282",282,"@winter_coat Glad you retweeted; excellent essay! So much abuse everywhere; it's nauseating.",0
"284",284,"Minced meat makes me nauseous.",0
"286",286,"RT @cambird: So #FireTrudeau seems to be trending here.. is it possible that Canadians will finally #FireTrudeau ? Does anyone else agree t…",0
"287",287,"only streamed 3 and a half hours; had a lot of fun but have a bad headache. thanks so much to @narrow101 for the 4… https://t.co/TiepEegd8w",0
"288",288,"Sooooo... @NBACanada the Nuggets aren’t even an NBA team according to your store? https://t.co/8kDF2IMTV4",0
"290",290,"As of March 10, 2020, there are no confirmed cases of COVID-19 in SK. All travelers should monitor for fever, cough and difficulty breathing. Call HealthLine 811 if you have symptoms. Visit https://t.co/4MYQXKeSAb for more information.",0
"295",295,"@Devin_Heroux Everything is Covid; apparently. A cough; Covid. Sniffle in the middle of winter; Covid. Gout; Covid.… https://t.co/ltRtY5ZoHy",0
"296",296,"Buffy's back! A little wacked out but she just crawled out of her own grave so that's understandable",0
"297",297,"@DarkostoTV Take care of yourself. Hoping your headache leaves quickly!",0
"298",298,"@cenobyte They venerate a charter that exists only in the fevered confines of their own craniums.",0
"302",302,"THIS FEELS LIKE A FEVER DREAM",0
"303",303,"3 months until I’m 29; and shit is getting freaky.   My baby fever is over the top; I suddenly have a facial cleans… https://t.co/zNS0rdCJYV",0
"304",304,"The guy who called me a poser is in my history class now",0
"305",305,"@bigworminsask @PremierScottMoe Be careful.  There is a good chance he won't be wearing a mask and will cough into… https://t.co/mqC5DuzYJF",0
"307",307,"@jkenney Fa cough; k?",0
"308",308,"I miss Cordelia",0
"309",309,"First Joyce dies; then Buffy dies; fucking Giles leaves and now Buffy's alive again?? I can't take this emotional whiplash",0
"314",314,"I am feeling depressed, I haven’t been as active as I was last week. Been lying in bed fir 3 days, cough goes down soreness goes up voice almost gone. I am depressed. I feel helpless right now.",1
"316",316,"@vonnielavonne @joe_hunglo @Wowk67 @cutecanukgirl @MzmeriABCA That horse going Imma throw up soon i swear to god Imma throw up. 🤣🤣🤣",0
"318",318,"me with an upset stomach and headache: it must be Covid 

also me: has been living off of coffee and Rice Krispie squares for the past three days, is in the middle of finals and can’t remember the last time I had a drink of water",0
"319",319,"@roccogalatilaw I will risk a day or two dry cough and other cold symptoms over the side effect of death",0
"323",323,"I love to eat McDonald's poutines even though I know I'm gonna have to throw up a little before finishing the secon… https://t.co/shrwoLHQCH",0
"324",324,"it’s been just over 5 weeks since my initial covid positive. i have still been dealing with difficulty breathing; f… https://t.co/sUiNxx1DMw",1
"325",325,"@AberhartDan @HobbyFarmerMatt Anti-fatigue mat? Wearing a 2' heel one day and then a comfortable pair of runners th… https://t.co/t7nReZchHJ",0
"326",326,"@victoriadecapua I real life I have a lack of an internal editor. I call it “verbal diarrhea”. It ends up translating to the internet in much the same fashion.",0
"327",327,"@KatSNicholson Oooof.   I moved to a standing desk today mostly because I’m sick of the headaches from working on a… https://t.co/bH8SCimYIP",0
"328",328,"@leahvallee I don’t. It just makes me nauseated 🤢 and sleepy. 😴",1
"329",329,"my fever climbed back up tonight and ive got a migraine from hell. and i just woke up and puked up what little ive been able to eat.",1
"331",331,"Election Twitter is the worst Twitter.",0
"333",333,"RT @SaskLass: I have come to realize that diarrhea of the mouth is a direct result of shit for brains. 🤦‍♀️",0
"335",335,"Literally shaking and about to vomit from panic I messed up so bad",0
"336",336,"5 days of no voice and would love some sleep and the coughing to stop!! 😰😰🤒😴 someone please bring me tea!!",1
"340",340,"'Barca likes Pjanic too much' . I so wana vomit 🤮🤢.  Tf is going on? Hoow? https://t.co/GPhfto1rUK",0
"342",342,"@Hockey_Robinson @roxyfever @CodySevertson Once I learn your middle name; I will have arrived.",0
"344",344,"@GradWriteSlack @AcademicChatter @TheSimpsons Cabin fever with a mix of writer’s block https://t.co/dJPkzKtPR5",0
"345",345,"And on top of all the emotions, I now have a headache from the horrible scent of the cheap uterine hygiene product I was using...

Please gods, let me not develop a rash from that ....",0
"346",346,"@sane_opinion @chaser321 @flamesfever Dreams are dreams for a reason. Haha",0
"350",350,"@BeaverFever76 @MoneoDallas @AdvancedAgTech @TopkropInc @TravisAlbrecht4 @warrentopkrop Cool. Tell him to watch his… https://t.co/ANjIr99m1r",0
"351",351,"Populists came to power peddling political fantasies—but the coronavirus has broken the fever. https://t.co/NGUqXzFhZX",0
"352",352,"RT @CBCSask: Tornado warnings issued for several communities in south central Sask. https://t.co/e8WwlTuZZg",0
"354",354,"he just laughed so hard at the part where The Other Mother coughs up the key to the real world. he laughed so fucking hard he spit up a bit.",0
"355",355,"@BeaverFever76 @MoneoDallas @AdvancedAgTech @TopkropInc @TravisAlbrecht4 @warrentopkrop Tell your boy to keep chirp… https://t.co/CskaRmY749",0
"359",359,"Took a shower; now I feel like it’s time for a nap. I’ve had the worst sinus pressure headache since last night.😭",1
"361",361,"RT @IronClawGaming: @you_know22 @BrillDrill WTF? Is that Chills from Top 15s? 😂",0
"362",362,"@ekoreen My heart still pounding and I know we’re the champs https://t.co/Ln9F601BQo",0
"364",364,"Star Wars: The Diarrhea Awakens https://t.co/8YGI0LL1AZ",0
"365",365,"RT @MurrayYaganiski: Star Wars: The Diarrhea Awakens https://t.co/8YGI0LL1AZ",0
"366",366,"@MelaJRose Exactly. And; if you can swing it; projectile vomit.",0
"367",367,"@FoodFirst_Ty @Asher_Barry87 the only thing you'll get from a narcissist is a headache.",0
"369",369,"Me: ugh I have such a headache I wonder what’s wrong with me   Also me: *has been looking at a computer since 7:30 am*",0
"370",370,"@CzuyDc @TaylorMadeTour Ya; we like having as many thoughts in our head as possible 🤦🏻‍♂️ @CzuyDc I have a headache now 🤯",0
"371",371,"RT @safeverytime: im so proud of ariana and the way she handles herself with so much grace even in the most uncomfortable situations",0
"372",372,"Has any @nba fan gotten a ticket refund for a postponed game from @Ticketmaster yet?? #Raptors fans?",0
"373",373,"@moderob_ @SaskLass Wow did a serf of her as well ; her page sent chills up my spine how many liberal followers and a crap they spew 🤮",0
"375",375,"@flamesfever @JMarshyBosco93 The funniest part of all this is that it was Zack “Dirty AF” Kassian that broke Gagner… https://t.co/5QPKYVlKKv",0
"382",382,"😴 these chills didn't come from the cold;  They came from you... #gNish ♡",1
"383",383,"Bucked a 2 yr old in the WFA Cabin Fever video futurity today and bucked our yearling filly’s. This is 957 Nobody’s… https://t.co/bx7wBEUpbn",0
"384",384,"@mattisbear @DragonflyJonez Meth is a hell of a drug",0
"385",385,"OMG I think I just finished the first draft. OMG I'm going to throw up. How did that happen? I thought I had another week to go Eep Weird! Somebody Help! @BambiSommers1 @HLNida2 @LailaDoncaster @ReadingIsOurPas @d_ast777 
#WritingCommunity #HaveWrittenMystery https://t.co/bhIgn7xWS3",0
"390",390,"RT @grandayy: JESSE YOU NEED TO SEE SAMSUNG GIRL https://t.co/xpm1qPkOBx",0
"391",391,"NDP Leader Ryan Meili is now self isolated at home because his wife, who is a pediatrician, has developed a cough. She is going for tests. https://t.co/xGW7Y8is1Y",0
"394",394,"@55GACrowder Suddenly the world we live in. It’s flu season and suddenly we are all patient zero if we have a cough.",0
"398",398,"I’m out. Not gonna lie. Not feeling good. Light headed and vertigo is coming back and with that I am nauseous when everything spins. Later gaters.",1
"400",400,"empathy cough band name called it",0
"401",401,"I haven't had a headache like this in 2 years; September 2019 was the last time I did and when our son passed away.… https://t.co/DS7FzqsR6y",0
"402",402,"Ow I have a headache someone please kiss me better",0
"403",403,"I contracted measles as an infant and then; as a result; also got whooping cough because suddenly I was no longer i… https://t.co/sCkjdsjXSV",0
"404",404,"What?! Future movies for our podcast @mooreonzach!  #FanchiseFatigue https://t.co/Q0lEQxW6RS",0
"405",405,"RT @TrentMeyerAg: 10 year old “so we were talking at school. Everyone says cough and sneeze into your elbow. Then they won’t shake hands bu…",0
"407",407,"Covid has changed the world so much. I used to cough to cover my farts; now I fart to cover my coughs.",0
"414",414,"RT @mcouros: The left lost their minds when @PremierScottMoe coughed into his hand during a media scrum. Not sure why they're quiet when @r…",0
"417",417,"@skier_doc @Vancbromycin Wrong - it’s English word usage.   Nauseated is the ACT of making someone feel sick. You d… https://t.co/rfDwXFrsSH",0
"418",418,"@scakefiend70 @NashvilleResist @Vancbromycin @claude859 Wrong - it’s English word usage. 

Nauseated is the ACT of making someone feel sick. You don’t feel nauseated you ARE nauseated by something. (You are Sickened)

Nauseous is the sensation “affected with nausea”. You FEEL nauseous. (You feel sick).",0
"420",420,"RT @RobPaulNFL: Highest NFL Combine SPARQ EDGEs:  1. Casey Toohill; Stanford 2. Jabari Zuniga; Florida 3. Carter Coughlin; Minnesota 4. Alt…",0
"421",421,"RT @loleen_berdahl: If you don’t come out of this quarantine with either:  1.) a devastating personal loss 2.) a devastating financial loss…",0
"422",422,"@Freedom_speech1 I’m pretty sure I had it but was not tested to confirm. Lost sense of smell and taste for 2 days.… https://t.co/9SzoOyv7uz",1
"423",423,"@TSM_Break @Halifax *cough cough* https://t.co/FeAPdlYviR",0
"424",424,"It should go without saying I meant ""ad nauseam"" but autocorrect buggered that up and I am not focused on clear spelling as I'm really annoyed with her.",0
"432",432,"@syko1969 @DropsNoPanties It’s bee vomit actually.",0
"433",433,"@Tmart1040 @MikeMartignago *waits for vomit guy",0
"434",434,"@wademcneil @geoffbrand84 @Andrew_Dalgarno @BDuchek He hasn't been able to shake that verbal diarrhea that he contr… https://t.co/P0FQ4KfrgL",0
"435",435,"Wheat ever happened to that idea some porn company had to send two porn stars to space??? Was that a fever dream of mine?",0
"438",438,"@GMillerTSN This highlight give me chills!  EVERY SINGLE TIME!!",0
"444",444,"RT @calmudge0n: Let's see if I've got this right ... First we cough into our elbows ... And then we touch elbows instead of shaking hands .…",0
"445",445,"I think I got the Cold Corona. Hyperventilating. Anxious. Temp 96.8 F. No cough. (Hypochondria is the new normal). #coldcorona",1
"451",451,"@WendySparrow Me earlier: *choking on breakfast and coughing*
My mom: ""IT'S NOT A DRY COUGH. RIGHT?? AS LONG AS IT'S NOT A DRY COUGH IT'S OKAY.""",0
"453",453,"@SamJoyceBooks I have been sitting around over analyzing everything too. I have a chronic headache and fatigue, but I am also deeply depressed.",0
"454",454,"in other news; I have a very persistent dry cough and I’m afraid https://t.co/SC8r7Bjk8q",1
"455",455,"@JoeyARamirez Remember when... https://t.co/XHZntPlmdc",0
"456",456,"@itzStxrmz @shmxglin @FlawChills_ @byMeIody @Drekzy_ @SlXTIETH @virtulplays1 @FlawTiki @ShynxOG Down my G",0
"457",457,"@StrathmoreKid I’m just sitting back watching it all burn down. What’s the symptoms again? Fever and a Cough? I wou… https://t.co/DiEIWvmvaQ",1
"458",458,"@rgchernick Yes; I’ve had chills; but not too bad",1
"459",459,"#LockdownCanada husbands boss wont close the shop. sean said everyone is coughing really bad. and touching everythi… https://t.co/LggaS4qoyh",1
"460",460,"do I have a fever or is my heater on too high https://t.co/E4X3CSlA8z",1
"462",462,"Well so much for sleeping tonight. This headache and cough can go away anytime now. How am i supposed to sleep when i don’t feel good?! 😰😓",1
"464",464,"So; im going on day three. Little to no sleep. Sinus infection; headache to the point even my prescribed meds arent… https://t.co/m7JeXZZ6FT",1
"466",466,"@RyanNPike *cough* Jankowski *cough*",0
"469",469,"@jen_keesmaat In South Korea all are told to wear masks. The aerosol droplets from someone cough or sneeze stays ai… https://t.co/SagxpDX6SI",0
"470",470,"RT @GlobalRegina: #Coronavirus case identified at Evan Hardy Collegiate in Saskatoon https://t.co/gsJggY01c4 #covid19sk",0
"472",472,"Yesterday: 8 pages. Today: nada. I have a headache & feel kinda barfy. https://t.co/7ytWqTDzkO",0
"474",474,"Whoever said laughter is the best medicine never had pneumonia. #hack #cough #sputter",0
"481",481,"We knew. Y’all catching up https://t.co/DAIdVD5wEC",0
"482",482,"ever see a take so bad it's physically nauseating? tw: biphobia https://t.co/XJrH9Axzb7",0
"486",486,"@smartereveryday This is the satisfaction I needed after a hard day!",0
"489",489,"I got chills down my back omg",0
"490",490,"RT @safeverytime: give dance to this the recognition it deserves",0
"491",491,"@mwabilimwagodi My 1½ year old daughter has been coughing for well over 8weeks now. We've been to the doc half a dozen times",0
"492",492,"@MooresResearch Cough @usask",0
"500",500,"@pinkk9lover @GOP @AOC @DevinNunes @ROCKONOHIO @AppSame @bbusa617 @battleofever @AZKAYTE @LVNancy @KaraMar111… https://t.co/my3oI8aMRv",0
